hisco,hisclass
01100,2
01110,2
01120,2
01130,2
01140,2
01150,2
01190,2
01200,2
01210,2
01220,2
01230,2
01240,2
01250,2
01260,2
01270,2
01280,2
01290,2
01300,2
01320,2
01330,2
01340,2
01350,2
01390,2
01400,4
01420,4
01430,4
01490,4
02000,2
02100,2
02120,2
02130,2
02140,2
02200,2
02210,2
02220,2
02230,2
02235,2
02240,2
02245,2
02250,2
02255,2
02260,4
02290,2
02300,2
02305,2
02310,2
02320,2
02330,2
02340,2
02390,2
02400,2
02410,2
02420,2
02430,2
02440,2
02450,2
02460,2
02470,2
02480,2
02485,2
02490,2
02500,2
02510,2
02520,2
02590,2
02600,2
02620,2
02630,2
02690,2
02700,2
02710,2
02720,2
02730,2
02740,2
02790,2
02800,2
02810,2
02820,2
02830,2
02890,2
02900,2
02920,2
02930,2
02940,2
02950,2
02990,2
03000,4
03010,4
03020,4
03030,4
03040,4
03050,2
03090,4
03100,4
03110,4
03120,4
03130,4
03140,4
03150,4
03160,4
03170,4
03180,4
03190,4
03200,4
03300,4
03310,4
03320,4
03330,4
03340,4
03390,4
03400,4
03405,4
03410,4
03420,4
03430,4
03490,4
03500,4
03510,4
03520,4
03530,4
03540,4
03550,4
03590,4
03600,4
03610,4
03620,4
03690,4
03700,4
03720,4
03730,4
03790,4
03800,4
03810,4
03820,4
03890,4
03900,4
03920,4
03930,4
03990,4
04100,2
04120,2
04125,2
04130,2
04140,2
04150,2
04160,2
04200,3
04215,3
04217,3
04220,3
04230,3
04240,4
04250,3
04290,3
04300,2
04315,1
04320,2
04330,2
05100,2
05110,2
05120,2
05130,2
05190,2
05200,2
05220,2
05230,2
05240,2
05250,2
05260,2
05265,2
05270,2
05280,2
05290,2
05300,2
05320,2
05330,2
05340,2
05350,2
05360,4
05390,2
05400,4
05420,4
05430,4
05490,4
06100,2
06105,2
06110,2
06120,2
06130,2
06140,2
06190,2
06200,4
06210,4
06300,2
06310,2
06320,2
06330,2
06400,4
06420,4
06430,4
06440,4
06500,2
06510,2
06520,2
06590,2
06600,4
06610,4
06700,2
06710,2
06800,4
06810,4
06900,4
06910,4
06920,2
06990,2
07100,4
07110,4
07120,4
07130,4
07140,4
07190,4
07200,9
07210,9
07300,4
07310,4
07400,9
07410,9
07500,4
07520,2
07530,4
07600,4
07620,4
07630,4
07640,9
07700,4
07710,4
07900,4
07920,4
07930,4
07940,4
07950,4
07990,4
08100,2
08110,2
08120,2
08130,2
08200,2
08220,2
08230,2
08240,2
08250,2
08300,2
08310,2
08400,2
08420,2
08490,2
09000,2
09010,2
09020,2
09030,2
11000,2
11010,2
11020,2
11090,2
12000,2
12100,2
12110,2
12200,2
12210,2
12300,2
12310,2
12400,2
12410,2
12900,2
12910,2
13000,2
13020,2
13030,2
13100,2
13120,2
13125,2
13130,2
13140,2
13145,2
13150,2
13155,2
13160,2
13165,2
13170,2
13175,2
13180,2
13190,2
13200,2
13215,2
13220,2
13230,2
13240,2
13250,2
13260,2
13270,2
13275,2
13280,2
13290,2
13300,4
13320,4
13390,4
13400,4
13420,4
13490,5
13500,4
13520,4
13530,4
13540,4
13590,4
13900,2
13920,2
13930,2
13940,1
13950,2
13960,2
13990,2
14100,2
14120,2
14130,4
14140,4
14190,2
14920,5
14990,2
15100,2
15120,2
15130,2
15900,2
15915,2
15920,2
15925,4
15930,2
15935,2
15940,2
15945,2
15950,2
15955,2
15960,2
15965,2
15990,2
16000,4
16100,4
16120,4
16130,4
16140,4
16150,4
16160,4
16190,4
16200,4
16220,4
16230,2
16240,4
16250,4
16290,4
16300,4
16310,4
16320,4
16330,4
16340,4
16350,4
16360,4
16370,4
16390,4
17000,4
17100,4
17120,2
17130,2
17135,3
17140,4
17145,4
17150,4
17190,2
17200,4
17220,2
17230,4
17300,4
17320,4
17330,1
17340,3
17350,4
17390,4
17400,4
17420,4
17430,4
17440,2
17490,4
17500,7
17520,4
17530,4
17540,7
17550,7
17590,7
17900,5
17920,5
17930,5
17940,5
17990,4
18000,4
18020,9
18030,4
18040,4
18050,4
18090,5
19100,4
19120,4
19130,4
19140,2
19190,4
19200,2
19220,2
19230,2
19240,2
19250,2
19260,2
19270,2
19290,2
19300,4
19310,4
19320,4
19330,4
19340,4
19350,4
19390,4
19400,4
19420,4
19430,2
19440,2
19490,4
19500,2
19520,2
19530,4
19540,2
19900,4
19920,4
19930,4
19940,3
19950,2
19960,5
19990,4
20100,1
20110,1
20200,1
20210,1
21000,3
21100,1
21110,1
21200,3
21220,3
21230,3
21240,3
21300,3
21320,1
21330,3
21340,3
21400,3
21420,1
21430,3
21440,3
21490,3
21900,1
21920,1
21940,1
21950,1
21960,1
21970,1
21980,1
21990,1
22000,3
22100,3
22110,3
22190,3
22200,3
22210,3
22220,3
22230,3
22235,4
22240,4
22245,4
22250,3
22255,3
22260,3
22265,4
22270,4
22275,3
22280,3
22290,3
22300,3
22320,3
22330,3
22390,3
22400,6
22420,6
22425,6
22430,6
22440,6
22450,6
22460,6
22490,6
22500,3
22520,3
22600,6
22610,3
22620,6
22630,6
22640,6
22650,6
22655,6
22660,6
22665,6
22670,6
22675,6
22680,6
22690,6
30000,5
31000,5
31020,4
31030,2
31040,4
31090,4
32100,5
32110,5
32120,5
32130,5
32140,5
32150,5
32190,5
32200,5
32220,5
32290,5
33100,5
33110,4
33120,4
33130,5
33135,5
33140,5
33150,5
33160,5
33170,4
33190,5
33900,5
33920,5
33930,5
33940,5
33990,5
34100,5
34120,5
34130,5
34200,5
34220,5
34230,5
34290,5
36000,9
36020,9
36030,9
36040,9
36090,9
37000,9
37010,4
37020,9
37030,9
37040,9
37090,9
38000,4
38020,9
38030,4
38040,5
38050,4
38060,4
38090,9
39100,5
39110,5
39120,5
39130,5
39140,5
39150,9
39190,5
39200,5
39220,5
39230,5
39300,5
39310,5
39320,5
39330,5
39340,4
39350,5
39390,5
39400,5
39410,5
39420,5
39430,5
